1;Раздел II. Расчетные коэффициенты электрических нагрузок (cosfi и Кс) по установке, процессу, цеху, предприятию в целом;;;;;;;
208;;;;Газовый цех (на природном газе);;;0,8;0,87
209;;;;Газовый цех (на газогенераторном газе);;;0,8;0,65
210;;;;Цех холодильных установок;;;0,9;0,79
211;;;;Цех компрессии;;;0,9;0,87
212;;;;Цех монознатоламиновой очистки;;;0,8;0,74
213;;;;Цех синтеза амиака;;;0,85;0,87
214;;;;Цех водной очистки;;;0,8;0,89
215;;;;Цех медно-амиачной очистки;;;0,85;0,8
216;;;;Цех синтеза метанола;;;0,7;0,81
217;;;;Цех сероочистки;;;0,64;0,8
218;;;;Цех конверсии окиси углерода;;;0,8;0,77
219;;;;Цех ректификции метанола;;;0,72;0,5
220;;;Производство капронового волокна;;;;;
221;;;;Химический цех;;;0,8;0,6
222;;;;Прядильный цех (с учетом динильных котлов);;;0,75;0,65
223;;;;Крутильный цех;;;0,75;0,7
224;;;;Отделочный цех;;;0,75;0,7
225;;;;Бобмнажно-перемоточный цех;;;0,75;0,8
226;;;;Цех ренегенерации отходов;;;0,7;0,65
227;;;Кордное производство;;;;;
228;;;;Химический цех;;;0,7;0,55
229;;;;Прядильный цех ;;;0,8;0,7
230;;;;Крутильный цех;;;0,8;0,7
231;;;;Ткацкий цех;;;0,75;0,85
232;;;Производство центрифугального шелка (вискозная технология);;;;;
233;;;;Химический цех;;;0,7;0,55
234;;;;Прядильный цех (без электроверетен);;;0,75;0,65
235;;;;Отделочный цех;;;0,75;0,65
236;;;;Бобмнажно-перемоточный цех;;;0,7;0,8
237;;;Штапельное производство (вискозное производство);;;;;
238;;;;Химический цех;;;0,7;0,6
239;;;;Прядильно-отделочный цех;;;0,8;0,75
240;;;Производство ацетатного шелка;;;;;
241;;;;Химический цех;;;0,65;0,9
242;;;;Прядильный цех ;;;0,7;0,85
243;;;;Крутильный цех;;;0,65;0,7
244;;;;Цех регенерации ацетона;;;0,8;0,9
245;;;;Водонасосная;;;0,8;0,75
246;;;Цех слабой азотной кислоты;;;;;
247;;;;Цех слабой азотной кислоты при повышеном давлении;;;0,95;0,86
248;;;;То же при нормальном давлении;;;0,91;0,78
249;;Заводы по производству хлора, электролитической каустической соды, хлоропродуктов и органических продуктов;;;;;;
250;;;В целом по заводу исключая электролиз хлора и каустической соды;;;;0,9;0,45 - 0,6
251;;;Электролиз (серии ванн) производство хлора и каустической соды;;;;0,9;1
252;2.7.Полиграфическая промышленность;;;;;;cosfi;Кс
253;;;;Наборный цех;;;0,8;0,63
254;;;;Ротационный цех в целом;;;0,7;0,54
255;;;;Цех изготовления офсетных форм в целом;;;0,85;0,54
256;;;;Цех глубокой печати в целом;;;0,75;0,58
257;;;;Брошюровочный цех в целом;;;0,65;0,66
258;;;;Печатный цех в целом;;;0,72;0,47
259;;;;Переплетный цех в целом;;;0,54;0,5
260;;;;;;"Печатные машины ""Пламаг"" и ""Вимаг"" (газеты)";0,24;0,5 - 0,35
261;;;;;;Печатные машины ГА, ГА-2, и ГАУ (газеты);0,4;0,7
262;;;;;;"Многокрасочные печатные машины ""Пламаг"" (журналы)";0,45;0,7
263;;;;;;"Печатные машины ""Планета"" (журналы, илюстрации)";0,3;0,65
264;;;;;;Печатные машины ПД-2 и ПРП-3 (книги, журналы);0,45;0,66
265;;;;;;"Печатные машины ПРК-2, ПРК-3 и ""Пламаг"" (книги, журналы)";0,5;0,62
266;;;;;;Строкоотливные машины Н-7 и Н-II;0,75;0,95
267;;;;;;Фальцевальные машины;0,3;0,55
268;;;;;;Вкладочно-швейные резальные агрегаты ВШРА (журналы);0,5;0,6
269;2.8.Пищевая промышленость;;;;;;cosfi;Кс
270;;;Производство сахара;;;;;
271;;;;;;Технологическое оборудование;;0,2 - 0,6
272;;;;;;Транспортное оборудование ;;0,2 - 0,8
273;;;;;;Жидкостные насосы;0,8;0,3 - 0,9
274;;;;;;Воздушные и газовые компрессоры, насосы;0,8;0,75 - 0,8
275;;;;;;Вентиляторы и дымососы;;0,3 - 0,75
276;;;Производство крупы и муки;;;;;
277;;;;;;Мельница сортового помола;0,8;0,7 - 0,75
278;;;;;;Мельницы обойного помола;0,8;0,75 - 0,8
279;;;;;;Сушильно-очистительные башни с шахтами и газовыми сушилками;0,75;0,45 - 0,5
280;;;;;;Сушильно-очистительные башни и механизированные склады зерна;0,75;0,4 - 0,8
281;;;Предприятия хлебопекарной и кондитерской промышленности;;;;;
282;;;;;;Технологическое оборудование;0,7;0,5 - 0,55
283;;;;;;Нагревательное оьорудование;0,95;0,85
284;;;;;;Компрессоры насосы;0,75 - 0,8;0,65 - 0,7
285;;;Предприятия плодоовощной промышленности;;;;;
286;;;;;;Технологическое оборудование;0,65 - 0,7;0,4 - 0,5
287;;;;;;Нагревательное оборудование;0,95;0,85
288;;;;;;Компрессоры насосы;0,75 - 0,8;0,65 - 0,7
289;;;Предприятие маслосыродельной и молочной промышленности;;;;;
290;;;;;;Технологическое оборудование для производства масла, сыра, брынзы, цельномолочной продукции;0,75;0,45 - 0,6
291;;;;;;Технологическое оборудование для производства молочных консервов;0,75;0,7
292;;;;;;Транспортное оборудование ;0,75;0,6
293;;;;;;Вентиляционное оборудование;0,75;0,7 - 0,75
294;;;;;;Холодильное оборудование;0,8;0,65 - 0,7
295;;;;;;Теплотехническое оборудование;0,8;0,5 - 0,6
296;;;Предприятия по переработки рыбы;;;;;
297;;;;;;Технологическое оборудование;0,7;0,4
298;;;;;;Нагревательное оборудование;0,95;0,6 - 0,8
299;;;;;;Дымогенераторы;0,95;0,6
300;;;;;;Печи производства рыбных консервов;1;0,3
301;;;;;;Сушилки тоннельного типа:;;
302;;;;;;привод;0,75;0,7
303;;;;;;Нагрев;0,95;0,8
304;;;;;;Транспортное и грузоподъемное оборудование ;0,65 - 0,75;0,3
305;;;;;;Насосы;0,8;0,4 - 0,7
306;;;;;;Компрессоры и морозильные агрегаты;0,8 - 0,85;0,6 - 0,8
307;;;;;;Выпрямители;0,6;0,8
308;;;;;;Внентиляторы технологические;0,8;0,6
309;;;Производство кулинарных изделий;;;;;
310;;;;;;Технологическое оборудование;0,7;0,3
311;;;;;;Нагревательное оборудование;0,95;0,4
312;;;;;;Грузоподъемное оборудование;0,65;0,3
313;;;;;;Компрессоры, насосы;0,8;0,55 - 0,6
314;;;;;;Вентиляторы технологические;0,7;0,6
315;;;Холодильники;;;;;
316;;;;;;Компрессоры;0,85;0,8
317;;;;;;Насосы;0,8;0,6
318;;;;;;Лифты;0,65;0,2
319;;;;;;Внентиляторы технологические;0,7;0,6
320;;;Подсобное оборудование;;;;;
321;;;;;;Зарядные станции;0,82;0,8 - 0,85
322;;;;;;Вентиляторы сантехнические;0,8;0,7
323;;;;;;Станки РММ;0,6;0,4
