1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
1304;;;;;;Машина для покрывного крашения и сушки кож;0,45;0,87;
1305;;;;;;Измерительная машина и машина для клеймения кож;0,3;0,58;
1306;;;;;;Автоматическая распылительное устройство во взрывоопасном исполнении, распылительная машина;0,54;0,79;
1307;;;;;;Машина проходная отжимная;0,29;0,81;
1308;;;;;;Выносной транспортер для стружки;0,25;0,54;
1309;;;;;;Машина для обрубки краев кож;0,23;0,7;
1310;;;;;;Непрерывная увлажнительная машина;0,36;0,76;
1311;;;;;;Пылеотстойник;0,54;0,8;
1312;;;;;;Проходная обеспыливающая машина с нагнетателем;0,36;0,87;
1313;;;;;;Сушилка с агрегатами крашения щетками;0,45;0,88;
1314;;;;;;Машина для отжига  и разварки кож;0.27;0,85;
1315;;;Производство кож для низа обуви;;;;;;
1316;;;;;;Двоильно-ленточная машина волососгонная-чистильная машина и машина валичная отжимная;0,27;0,81;
1317;;;;;;Мездрильная машина и машина строгальная;0,19;0,82;
1318;;;;;;Сушильно-увлажительный агрегат;0,45;0,79;
1319;;;;;;Пресс;0,23;0,77;
1320;;;;;;Машина для подвилки кож низа обуви, машина намазная и валичная щеточная машина для жирования кож;0,27;0,73;
1321;;;;;;Сушильно-увлажительный агрегат для сушки и увлажения юфтевых кож внаклейку на дюральалюминевых листах;0,45;0,87;
1322;;;;;;Барабанная разводная машина;0,36;0,8;
1323;;;;;;Каток проходной подошвенный;0,54;0,8;
1324;;;;;;Машина для измерения площади жестких кож;0,36;0,73;
1325;;;;;;Барабан подвесной преддубильно-дубильных процессов;0,23;0,7;
1326;;1.23.Обувная промышленность;;;;;Ки;cosfi;
1327;;;;;;Разруб и обработка низа;;;
1328;;;;;;Пресс для разруба материалов низа;0,33;0,65;
1329;;;;;;Машина для выравнивания низа обуви;0,36;0,7;
1330;;;;;;Машина для тиснения и перфорации обуви;0,38;0,8;
1331;;;;;;Машина для шкуренияи шлифовки деталей низа обуви;9,43;0,78;
1332;;;;;;Машина для фрезирования площадки на ход по верху;0,43;0,78;
1333;;;;;;Машина для взъерошивания (фрезерования) подошв по периметру;0,37;0,75;
1334;;;;;;Машина для фрезерования подошв в печках;0,24;0,85;
1335;;;;;;Машина для холодной полировки;0,42;0,7;
1336;;;;;;Машина для обеспыливания контура подошв;0,44;0,7;
1337;;;;;;Машина для опускания краев деталий низа;0,47;0,6;
1338;;;;;;Машина для профилирования подошв площади;0,36;0,68;
1339;;;;;;Машина для клеймения размеров;0,31;0,95;
1340;;;;;;Машина для вырезания желоба в полустельках;0,39;0,72;
1341;;;;;;Машина для приклеевания ступенаторов;0,59;0,51;
1342;;;;;;Машина для намазки клеем пяточной части;0,5;0,68;
1343;;;;;;Машина для склеевания деталей;0,39;0,52;
1344;;;;;;Машина для активизации клеевых пленок на подошвах;0,6;0,95;
1345;;;;;;Машина для склеевания подошв с каблуками;0,34;0,71;
1346;;;;;;Машина для вырезания подошв по контору;0,43;0,6;
1347;;;;;;Машина для снятия фаски с пяточной части стелек;0,5;0,8;
1348;;;;;;Машина для формирования подошв стелек;0,34;0,68;
1349;;;;;;Сушилка для клеевой пленки на стельках;0,44;0,46;
1350;;;;;;Конвеер вырубной ленточной;0,55;0,65;
1351;;;;;;Конвеер для обработки деталей низа;0,51;0,52;
1352;;;;Закройный цех;;;;;
1353;;;;;;Пресс для верхнего края;0,35;0,65;
1354;;;;;;Пресс для раскроя текстильных материалов;0,31;0,77;
1355;;;;;;Машина для выравнивания края;0,46;0,75;
1356;;;;;;Конвеер закройный ленточный для текстиля;0,4;0,55;
1357;;;;;;Машина для клеймения деталей верха обуви;0,77;0,95;
1358;;;;;;Конвеер заготовочный ленточный;0,54;0,81;
1359;;;;;;Конвеер закройный ленточный для верхних кож;0,45;0,53;
1360;;;;Цех сборки заготовок (швейный);;;;;
1361;;;;;;Машина для опускания краев деталей верха заготовок;0,44;0,7;
1362;;;;;;Швейная машина для сострачивания деталей верха и машина для разглаживания швов задников;0,47;0,7;
1363;;;;;;Машина для загибки краев деталей верха, машина для всавки блочек и швейная машина;0,44;0,54;
1364;;;;;;Горячее формирование деталей верха;0,61;0,75;
1365;;;;;;Пресс для тиснения и перфорации;0,38;0,8;
1366;;;;;;Пресс для дублирования (вклеивания деталей верха обуви);0,68;0,95;
1367;;;;Цех сборки обуви;;;;;
1368;;;;;;Увлажительная камера заготовок;0,54;0,93;
1369;;;;;;Машина для чистки колодок, полировка подошв;0,3;0,72;
1370;;;;;;Пресс для прикрепления подошв;0,36;0,54;
1371;;;;;;Машина для вытяжки и формирования задников;0,69;0,95;
1372;;;;;;Машина для крепления гвоздями деталий низа;0,54;0,54;
1373;;;;;;Машина для термоувлажнения;0,73;0,95;
1374;;;;;;Машина для обтяжки и клеевой затяжки насосной пусковой части заготовок;0,47;0,82;
1375;;;;;;Машина для затяжки генечной части заготовок;0,43;0,95;
1376;;;;;;Машина для затяжки насосной пучкавой части обуви;0,5;0,82;
1377;;;;;;Машина для затяжки пяточной части заготовок;0,3;0,65;
1378;;;;;;Машина для клеевой затяжки пяточной части заготовок;0,52;0,82;
1379;;;;;;Машина для затяжки пяточной части заготовок;0,46;0,81;
1380;;;;;;Машина для затяжки бочков и пяточной части гвоздями;0,55;0,59;
1381;;;;;;Машина  для формирования следа обуви;0,49;0,81;
1382;;;;;;Сушилка для обуви;0,45;0,65;
1383;;;;;;Элеватор (хранение обуви);0,1;0,46;
1384;;;;;;Машина для прикрепления каблуков, камера дя аппаратирования верха обуви и машина для шкурения плассмасовых каблуков;0,32;0,68;
1385;;;;;;Машина для обрезки излишней кромкм;0,5;0,6;
1386;;;;;;Сушилка, первоя и вторая намазка клеем;0,44;0,68;
1387;;;;;;Термоактиватор (активизация клеевых пленок);0,6;0,95;
1388;;;;;;Пресс для склеивания подошв с каблуками;0,34;0,71;
1389;;;;;;Машина для фрезерования подошв ;0,37;0,75;
1390;;;;;;Машина для шлифования каблуков;0,53;0,82;
1391;;;;;;Машина для снятия обуви с колодок;0,5;0,73;
1392;;;;;;Машина для утюжевания верха обуви;0,31;1;
1393;;;;;;Машина для разглаживания верха;0,4;1;
1394;;;;;;Машина для разглаживания голени;0,5;1;
1395;;1.24.Меховая промышленность;;;;;Ки;cosfi;
1396;;;Серийно-красильное производство;;;;;;
1397;;;;;;Баркас с подогревателем и мешалка переносная Н/О;0,21;0,76;
1398;;;;;;Раводная валичная машина;0,39;0,79;
1399;;;;;;Рубильная машина;0,39;0,79;
1400;;;;;;Проходная шерстерезная машина;0,15;0,79;
1401;;;;;;Центрифуга;0,39;0,87;
1402;;;;;;Линия непрерывной обработки;0,445;0,8;
1403;;;;;;Загрузочный транспортер;0,45;0,58;
1404;;;;;;Машина для мойки и обезвреживания;0,23;0,88;
1405;;;;;;Мездрильная машина;0,27;0,8;
1406;;;;;;Машина для уменьшения толщины кожевой ткани;0,39;0,76;
1407;;;;;;Машина отжимная;0,45;0,83;
1408;;;;;;Отжимной пресс;0,2;0,83;
1409;;;;;;Жировальная машина;0,2;0,76;
1410;;;;;;Мялка молотковая;0,45;0,79;
1411;;;;;;Агрегат анилинового крашения;0,5;0,86;
1412;;;;;;Сушилка концевая ремная;0,59;0,76;
1413;;;;;;Проходная разбивочная машина;0,45;0,77;
1414;;;;;;Стригальная машина;0,3;0,8;
1415;;;;;;Барабан комбинированный для откатки;0,28;0,8;
1416;;;;;;Сетчаты барабан;0,28;0,77;
1417;;;;;;Чесальные машины;0,54;0,77;
1418;;;;;;Намазная машина;0,28;0,76;
1419;;;;;;Машина гладильная;0,38;0,8;
1420;;;;;;Машина для тяжки, разбивки шкурок норки;0,37;0,64;
1421;;;;;;Подвесная петельная машина;0,45;0,82;
1422;;;;;;Машина проходная для склеивания на тканевой основе;0,27;0,59;
1423;;;;;;Станок для заточки дисковых ножей;0,2;0,76;
1424;;;;;;Колотильная машина и 2-х барабанная чесальная машина;0,45;0,76;
1425;;;;;;"Вибрационно-мягчильная машина ""Полиса"" ми шлифовальная мягчительная машина";0,23;0,83;
1426;;;;;;Машина для растяжки шкурок норки;0,23;0,73;
1427;;;;;;Измерительная машина;0,3;0,64;
1428;;;;;;Гидропресс;0,18;0,84;
1429;;;;;;Сушилка для подсушки;0,36;0,73;
1430;;;;;;Обрезная машина;0,23;0,59;
1431;;;;;;Аппарат для обезжиревания;0,27;0,83;
1432;;;;;;Машина для химической чистки;0,3;0,87;
1433;;;;;;Адсорбер;0,45;0,72;
1434;;;;;;Нитроагрегат;0,45;0,84;
1435;;;;;;Щеточная машина;0,36;0,76;
1436;;;;;;Скорняжная машина;0,45;0,54;
1437;;;Скорняжно-пошивочное производство;;;;;;
1438;;;;;;Агрегат для опарки шапок и агрегат для правки шапок;0,225;0,78;
1439;;;;;;Сушилка;0,58;0,73;
1440;;;;;;Машина маркеровочная, машина для измерения размеров головных уборов и машина для заполнения реквизитов на ленточке;0,23;0,56;
1441;;;;;;Машина для чистки и обжига;0,27;0,54;
1442;;;;;;Машина электрозакройная;0,33;0,64;
1443;;;;;;Пресс;0,23;0,72;
1444;;;;;;Автомат для печатания ярлыков;0,28;0,53;
1445;;;;;;Механическая линейка для обрезания полотен при настилании;0,23;0,53;
1446;;;;;;Машина для вырезания наружных контуров;0,3;0,54;
1447;;;;;;Машина для высекания внутренних конткров, лекал, машин для высекания фигурных ответстий в лекалах, утюг, станок для клеймения срезов лекал, машина для резки карточных заготовок лекал из рулона;0,23;0,58;
1448;;;;;;Пресс гидравлический и пачковязательная машина;0,23;0,59;
1449;;;;;;Машина раскройная четырехшкивная ленточная;0,27;0,64;
1450;;;;;;Машина фотоэлектронная для измерения площади лекал;0,27;0,54;
1451;;;;;;Установка для скоростного копирования лекал;0,27;0,72;
1452;;;;;;Машина швейная 12-ти игольная для стяжки ватина;0,36;0,73;
1453;;;;;;Щетка механическая для чистки изделий;0,23;0,76;
1454;;;;;;Швейная машина различных классов;0,36;0,58;
1455;;;;;;Механическая линейная для обрезки и клеймения полотен при настелании;0,3;0,54;
1456;;;;;;Автомат для печатания контрольно-маркировочных талонов;0,27;0,59;
1457;;;;;Транспортные стедства;;;;
1458;;;;;;Установка для перекачки мездры;0,54;0,86;
1459;;;;;;Установка с насосами для повторного использования стоков;0,36;0,79;
1460;;;;;;Транпортер для опилок;0,36;0,76;
1461;;;;;;Конвееры отделочные;0,36;0,76;
1462;;;;;;Перекидчик;0,23;0,76;
1463;;;;;;Бункер для опилок и лоскута;0,38;0,64;
1464;;;;;;Конвеер и транспортер механический для хранения и трансортирования лекал;0,45;0,76;
1465;;;;;;Механизированный настилочный стол с решающейся этажеркой;0,36;0,58;
1466;;;;;;Элеватор для хранения кроя;0,27;0,59;
1467;;;;;;Механизированная вешалка;0,27;0,64;
1468;;1.25.Промышленность искуственных кож и пленочных материалов;;;;;Ки;cosfi;
1469;;;Производство синтетической кожи;;;;;;
1470;;;;;;Линия для подготовки и смешивания синтетических волокон и линия для формирования лицевого покрытия синтитической кожи с эксперементальной камерой предкоагуляции;0,675;0,76;
1471;;;;;;Агрегат для формирования волокнистого слоя и предворительного иглопркалывния;0,63;0,87;
1472;;;;;;Агрегат для термоусадки и агрегат для дублирования;0,63;0,77;
1473;;;;;;Линия для пропитки волокнистой основы и агрегат для промывки;0,68;0,79;
1474;;;;;;Машина сушильно-ширильная;0,63;0,8;
1475;;;;;;Агрегат красильно-сушильный для отделки;0,5;0,76;
1476;;;;;;Щипальная машина с кондесатором, машина для набивки шерсти в мешки;0,45;0,77;
1477;;;;;;Шлифовальная машина и двоильно-ленточная машина;0,54;0,87;
1478;;;Производство столовой клеенки с ПВХ покрытием кашировальным методом;;;;;;
1479;;;;;;Двухсталийный смеситель и двухроторный смеситель;0,54;0,89;
1480;;;;;;Червячный асциллирующий смеситель;0,63;0,68;
1481;;;;;;Червячный пресс-кранолятор;0,63;0,87;
1482;;;;;;Установка пневмотранспортера и диспергатор для перетирования пегментов;0,63;0,8;
1483;;;;;;Вакуум-Насос;0,63;0,86;
1484;;;;;;Тепловая станция и диспергатор для перетирования наполнителей;0,63;0,86;
1485;;;;;;Весы автоматические;0,5;0,59;
1486;;;;;;Копировальная машина;0,67;0,77;
1487;;;;;;Печатная 4-х красочная машина;0,5;0,77;
1488;;;;;;Реактор емкостью до 1250 л;0,63;0,77;
1489;;;;;;Планетарный смеситель;0,55;0,76;
1490;;;;;;Установка для тиснения;0,68;0,86;
1491;;;;;;Каландр отделочный;0,49;0,87;
1492;;;;;;Машина для разблокировки клеенки;0,57;0,76;
1493;;;;;;Машина ширильно-цепная;0,58;0,77;
1494;;;;Цех рекуперации;;;;;
1495;;;;;;Вентиляторы технологической линии;0,7;0,89;
1496;;;;;;Насосы технологической линии;0,8;0,76;
1497;;;Производство винидуританиевой кожи;;;;;;
1498;;;;;;Контакт-дисельвер;0,63;0,8;
1499;;;;;;Краскотерка и мельница тонкого помола;0,54;0,86;
1500;;;;;;Вакуум-синусдисольвер;0,63;0,83;
1501;;;;;;Вакуум-мешалка;0,55;0,76;
1502;;;;;;Вакуум-насос;0,63;0,76;
1503;;;;;;Ленточно-шлифовальный станок;0,45;0,87;
1504;;;;;;Мяльный агрегат с распределительным шкафом;0,54;0,77;
1505;;;;;;Комбинированная браковочно-перемонтальная машина;0,45;0,83;
1506;;;;;;Тепловая установка;0,63;0,89;
1507;;;;;;Браковочно-перемонтальная машина для подложки;0,47;0,83;
1508;;;;;;Автоматическая тандем-установка для нанесения покрытия;0,68;0,87;
1509;;;Производство резины;;;;;;
1510;;;;;;Агрегат 4-х дисковый для резки синтетического каучука и нож гидравлический;0,23;0,85;
1511;;;;;;Вальцы 800 мм рафинирующие и резиносмеситель;0,55;0,8;
1512;;;;;;Камера механизированная для разогрева каучука;0,54;0,77;
1513;;;;;;Вальцы смесительные и вальцы подогревательные ;0,55;0,85 км;
1514;;;;;;Смеситель и краснотерка 3-х валковая;0,54;0,79;
1515;;;;;;Одночервячная машина;0,4;0,8;
1516;;;;;;Штамп-автомат;0,35;0,72;
1517;;;;;;Пресс карусельный вулказизационный;0,23;0,75;
1518;;;;;;Вулканизационный пресс гидравлический;0,23;0,75;
1519;;;;;;Двоильно-ленточная машина ;0,45;0,82;
1520;;;Производство регенератора;;;;;;
1521;;;;;;Девулканизатор непрерывного действия;0,54;0,85 емк;
1522;;;;;;Бункер с питателем;0,54;0,75;
1523;;;;;;Реактор-смеситель;0,54;0,88;
1524;;;;;;Бункер м ворошителем;0,54;0,59;
1525;;;;;;Дозатор с весовым контролем;0,23;0,73;
1526;;;;;;Буферная емкость для регенератной крошки с питателем;0,63;0,73;
1527;;;;;;Вальцы 800 мм дробильные;0,55;0,85 емк;
1528;;;;;;Вальцы размалывающие и рафинирующие;0,55;0,8;
1529;;;;;;Мельница тонкого измельчения;0,53;0,88;
1530;;;;;;Сито вибрационное однояростное;0,63;0,59;
1531;;;;;;Дробилка молотковая;0,63;0,74;
1532;;;Производство картона и кожкартона;;;;;;
1533;;;;;;Гидроразбиватель и коническая мельница;0,72;0,89;
1534;;;;;;Машина для предварительного измельчения отходов и длиносеточная машина;0,68;0,88;
1535;;;;;;Аппарат для работы под налив и реактор;0,63;0,83;
1536;;;;;;Кондукс тонкого размола;0,52;0,88;
1537;;;;;;Емкость для массы с мешалкой и реактор с рамой мешалкой;0,63;0,8;
1538;;;;;;Пресс для вырубки стелек и машина для раскроя картона на коробки;0,23;0,75;
1539;;;;;;Машина для сшивки коробок;0,23;0,54;
1540;;;;;;Горизонтальный транспортер;0,54;0,73;
1541;;;;;;Измечительная машина;0,52;0,9;
1542;;;;;;Мельница с металлическими дисками;0,52;0,6;
1543;;;;;;Циклические чаны с мешелкой;0,54;0,79;
1544;;;;;;Мельница с базальтовыми дисками;0,52;0,8;
1545;;;;;;Конический рафинер и чаны с мешалкой;0,54;0,9;
1546;;;;;;Двухстоточная машина;0,68;0,86;
1547;;;;;;Машина для резания рулонного картона на листы;0,58;0,87;
1548;;;;;;Машина для тиснения;0,45;0,88;
1549;;;;;;Машина для резания рулонного картона на ленты;0,375;0,8;
1550;;;;;;Линия для упаковки листов картона;0,575;0,75;
1551;;;;;;Малая краскотерочная машина;0,54;0,73;
1552;;;;;;Гидроразбиватель и коническая мельница;0,63;0,88;
1553;;;;;;Машина для предварительного измельчения кожеотходов и кондуксы;0,65;0,88;
1554;;;;;;Коническая мельница. Бассейн, дезенинтегратор и виброгрохот;0,63;0,8;
1555;;;;;;Гидропульпер;0,63;0,8;
1556;;;;;;Намоточная машина;0,75;0,83;
1557;;;;;;Кондуксы;0,53;0,88;
1558;;;;;;Центробежный очиститель;0,63;0,76;
1559;;;;;;Машина для мойки фетров;0,54;0,75;
1560;;;;;;Длиносеточная машина;0,68;0,88;
1561;;;;;;Установка для центрования и обрезки кромок;0,68;0,85;
1562;;;;;;Каландор отделочный и намоточная машина;0,68;0,83;
1563;;;;;;Шлифовальная машина с системой отсоса пыли;0,45;0,85;
1564;;;;;;Оборудование для предварительной сортировки;0,45;0,75;
1565;;;;;;Машина для резки картона;0,3;0,85;
1566;;;;;;Тионильный коландр;0,68;0,88;
1567;;;;;;Бассейны;0,8;0,89;
1568;;;;;;Реакторы, аппараты цельносварные, емкости для массы;0,7;0,8;
1569;;;;Вырубочно-формовочный цех;;;;;
1570;;;;;;Автомат для вырубки задников и автомат для спускания края задников;0,3;0,76;
1571;;;;;;Прессы для формирования и вырубки стелек и простилок и машина для шкурения стелек;0,23;0,76;
1572;;;;;;Машина для спускания края деталей;0,32;0,59;
1573;;;;;;Машина для формирования стелек;0,32;0,76;
1574;;;;;;Машина для связи стелек;0,32;0,54;
1575;;;;;;Машина для раскроя картона для каробок;0,225;0,73;
1576;;;;;;Машина для сшивки коробок;0,225;0,54;
1577;;1.26.Фарфоро-фаянсовая промышленность;;;;;Ки;cosfi;
1578;;;;;;Дробилки и вальцы грубого помола;0,35;0,75;
1579;;;;;;Дезинтеграторы;0,65;0,75;
1580;;;;;;Бегуны, штатомойки, смесители сухих компонентов, мшалки;0,65;0,7;
1581;;;;;;Грохоты вибрационные;0,7;0,7;
1582;;;;;;Сита;0,5;0,7;
1583;;;;;;Сепараторы;0,4;0,65;
1584;;;;;;Питатели;0,3;0,65;
1585;;;;;;Шкивы электромагнитные;0,65;0,7;
1586;;;;;;Машины глинорезольные;0,7;0,7;
1587;;;;;;Прессы, вакуумпессы;0,55;0,7;
1588;;;;;;Фильтры-прессы;0,58;0,7;
1589;;;;;;Барабаны сушильные автоматизированные, центрифуги, бетоносмесители;0,4;0,7;
1590;;;;;;Дозаторы весовые автоматизированные;0,3;0,7;
1591;;;;;;Полуавтоматы для формовки капселей, насосы мембранные, установки для литья изделий;0,66;0,7;
1592;;;;;;Дозаторы весовые автоматизированные;0,3;0,7;
1593;;;;;;Полуавтоматы для формовки капселей, насосы мембранные, установки для литья изделий;0,66;0,7;
1594;;;;;;Полуавтоматы для формовки плоских изделий и станки для калибровки гипсовых форм;0,4;0,7;
1595;;;;;;Полуавтоматы для формирования полых изделий, блюд, тарелок;0,58;0,7;
1596;;;;;;Мельницы;0,66;0,8;
1597;;;;;;Сушилка;0,65;0,8;
1598;;;;;;Автоматы для литья полых изделий, полуавтоматы оправочные, обдувка, глазурование. Шлифовки, декоррование, поточные м автоматизированные изготовление чашек, автомат для печати;0,7;0,7;
1599;;;;;;Полуавтоматы для отводки плоских изделий, упаковки стенки для печати через сетку;0,55;0,7;
1600;;;;;;Дробилки шековые лобораторные растворомешалки;0,3;0,7;
1601;;;;;;Электрические печи лабораторные;0,7;1;
1602;;1.27.Валяльно-войлочная промышленность;;;;;Ки;cosfi;
1603;;;;Приготовительный цех;;;;;
1604;;;;;;Трепальные машины, шипально-замасливающие, обрезепеющие и машины для разработки свалков нефти;0,68;0,8;
1605;;;;;;Питатель универсальный;0,65;0,78;
1606;;;;;;Смесовые машины;0,59;0,8;
1607;;;;Чесально-сновальный цех;;;;;
1608;;;;;;Чесальные машины;0,73;0,82;
1609;;;;;;Свойлачивающие полуавтоматы;0,69;0,75;
1610;;;;;;Свойлачивающие машины;0,56;0,7;
1611;;;;;;Машины катальные;0,66;0,75;
1612;;;;;;Станки для расправки основы, точильно-пропиловочные;0,75;0,8;
1613;;;;Участок обработки отходов;;;;;
1614;;;;;;Оборудование для обработки отходов;0,83;0,75;
1615;;;Фабрика валяной обуви;;;;;;
1616;;;;;;Молотовые машины;0,69;0,8;
1617;;;;;;Красильные аппараты;0,81;0,8;
1618;;;;;;Станки ролико-растяжные, рычажно-растяжные, насадочно-расколодочные, расправочно-отжимные;0,7;0,8;
1619;;;;;;Сушильные камеры;0,7;0,8;
1620;;;Фабрики по производству войлока и полировальных кругов;;;;;;
1621;;;;;;Универсально свойлочные машины;0,47;0,8;
1622;;;;;;Кисловочные машины;0,82;0,87;
1623;;;;;;Красильные аппараты;0,8;0,8;
1624;;;;;;Сушильно-ширильные машины;0,7;0,8;
1625;;;;;;Сушильные камеры и сушилки для кругов;0,75;0,8;
1626;;;;Отделочный цех;;;;;
1627;;;;;;Станки для полировки, обрезки, шлифовки валяной обуви;0,5;0,75;
1628;;;;;;Машины для комплексной отделки поверхности валенок с электро-опаливанием;0,9;0,97;
1629;;;;;;Машины для сухой отделки;0,62;0,8;
1630;;;;;;Машины для обкатки войлочных полировальных кругов;0,8;0,86;
1631;;;;;;Прнсса гидравлические;0,5;0,86;
1632;;;;Цех обрезинивания;;;;;
1633;;;;;;Вальцы подогревательные;0,8;0,8;
1634;;;;;;Пресса электрогидравлические;0,5;0,86;
1635;;;;;;Пресса-автоматы для горячей вулканизации;0,8;1;
1636;;;;;;Гидропривод;0,75;0,8;
1637;;;;;;Участок строительного войлока, машины для разробртки войлочного лоскута;0,8;0,85;
1638;;1.28.Предприятия по изготовлению техоснастки и пласмасовой фурнитуры;;;;;Ки;cosfi;
1639;;;;;;Сверлийные, точильно-шлифовальные резьбонарезные, зубофрезерные и зубодолбежные станки;0,16;0,6;
1640;;;;;;Кузнечно-прессовое оборудование, гидравлические прессы, термоавтоматы;0,65;0,8;
1641;;;;;;Насосы масляные гальваники и окрасочных цехов;;;
1642;;;;;;Ножницы гибочные оборудование, мостовые краны литейных цехов;0,45;0,65;
1643;;;;;;Галтовочное и очистные барабаны, сварочные транформаторы ручной сварки, волочильные и протяжные станки, решетка выбивная;0,25;0,65;
1644;;;;;;Трансформаторы для полуавтоматической и автоматической сварки, питатели дисковые;0,4;0,55;
1645;;;;;;Токарные станки, автоматы и полуавтоматы, металлообрабатывающие станки литейного производства;0,2;0,6;
1646;;;;;;Фрезерные. Строительные расточные станки;0,17;0,65;
1647;;;;;;Кран-балки, тельферы, лифты;0,3;0,5;
1648;;;;;;Сушильные шкафы, камеры, печи сопротивления;0,8;1;
1649;;;;;;Кран-балки, тельферы, лифты, станки перевообрабатывающие;0,3;0,6;
1650;;;;;;Дымососы печей, окрасочные камеры, индукционные печи высокой частоты;0,7;0,8;
1651;;;;;;Машины консольные для центробежного литья;0,7;0,8;
1652;;;;;;Агрегаты гальванического покрытия;0,6;0,9;
1653;;;;;;Пневмотранспорт деревообделочного оборудования. Шаровые мельницы, дробилки комбинированные;0,85;0,85;
1654;;;;;;Питатели вибрационные и бункеры с вибрационными питателями;0,98;0,6;
1655;;;;;;Барабаны сушильные, элеваторы ковшовые;0,6;0,7;
1656;;;;;;Конвееры ленточные;0,5;0,7;
1657;;;;;;Бегуны смешивающие;0,7;0,65;
1658;;;;;;Питатели качающиеся;0,6;0,8;
1659;;;;;;Установки магнитной сепарации;0,4;0,8;
1660;;;;;;Индукционные печи низкой частоты;0,7;0,35;
1661;;;;Вспомогательные службы;;;;;
1662;;;;;;Подсобное оборудование прядильно-ткацких производств (валичные, точильные, клееварки);0,4;0,7;
1663;;;;;;Внутрицеховой транспорт непрерывный;0,4;0,75;
1664;;;;;;Электрические краны, штабеллеры;0,3;0,75;
1665;;;;;;Оборудование химических станций и красковарок, емкостей с мешалками;0,5;0,76;
1666;;;;;;Холодильные станции (низковольтные токоприемники кроме насосов и холодильных машин);0,75;0,84;
1667;;;;;;Градирни;0,7;0,8;
1668;;;;;;Оборудование складов сырья и химикатов;0,25;0,75;
1669;;;;;;Оборудование пожарных депо;0,3;0,78;
1670;;;;;;Лаборатории;0,3;0,75;
1671;;;;;;Центральные ремонтные и прочие мастерские;0,3;0,8;
1672;;;;;Столовые:;;;;
1673;;;;;;а) электроплиты и электрофритюрницы;0,65;1;
1674;;;;;;б) электрические мармиты, тепловые шкафы, электросковороды и тепловые стойки;0,5;1;
1675;;;;;;в) прочее электрооборудование;0,3;0,7;
1676;;;;;;Зарядные станции тяговых аккумуляторов;0,4;0,75;
