1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
281;;;;;;Испытательные стенды для крупныхизделий;;;
282;;;;;;Вибростенды;;;
283;;;;;;Камеры испытательные;;;
284;;;;;;Камеры климатических испытаний;;;
285;;;;;;То же полкпроводникового производства;;;
286;;;;Металлорежужие станки;;;;;
287;;;;;;Металорежащие станки мелкосерийного производства с нормальном режимом работы: ;;;
288;;;;;;мелкие токарные, строгальные, долбежные фрезерные,светлийные, карусельные точильные, ножницы листовые, сортовые, фасонные,скрапные, арматурные;0,14;;
289;;;;;;То же при крупносерийном производстве с нормальном режимом работы;0,17;;
290;;;;;;Металорежущие станки мелкосерийного производства с особо тяжелым режимом работы, а так же привода молотков, ковочных машин, волочильных станков и.т.п;0,2 - 0,24;;
291;;;;Сварочное оборудование;;;;;
292;;;;;;Сварочные трансформаторы для ручной дуговой сварки ;0,35;;
293;;;;;;Сварочные трансформаторы для автоматической дуговой сварки;0,5;;
294;;;;;;Однопостовые сварочные дизели-генераторы;0,3;;
295;;;;;;Сварочные машины (нагреватели заклепок);0,35;;
296;;;;Электрические печи;;;;;
297;;;;;;Сушильные камеры периодического действия;0,55;;
298;;;;;;Стекольные печи для плавки кварцевого стекла;0,75;;
299;;;;;;Высокочастотные печи для вытяжки кварцевых трубок;0,8;;
300;;;;;;Печи сопротивления с непрерывной загрузкой, конвеерные, толкательные;;;
301;;;;;;Печи сопротивления с периодической загрузкой;0,6;;
302;;;;;;Нагревательные аппараты;0,6;;
303;;;;;;Сушильные шкафы;0,75;;
304;;;;Механизмы непрерывного транспорта;;;;;
305;;;;;;Элеватторы ковшовые, вертикальные и наклонные, шнеки конвееры и.т.п несбалансированные;0,4;;
306;;;;;;То же сбалонсированные;0,55;;
307;;;;;;Питатели пластинчатые, барабанные, дисковые и.т.п;0,3 - 0,4;;
308;;;;;;Конвееры легкие мощностью до 10 кВт;0,4 - 0,5;;
309;;;;;;То же свыше 10 кВт;;;
310;;;;;;Транспортеры ленточные;0,5 - 0,65;;
311;;;;;;Транспортеры винтовые;0,65;;
312;;;;Механизмы драбления и измельчения;;;;;
313;;;;;;Дробилки шнековые и конусные для крупного дробления;0,4;;
314;;;;;;То же среднего дробления;0,6 - 0,7;;
315;;;;;;Дробилки конусные для мелкого дробления, валковые и молотковые мощностью до 100 кВт;0,75 - 0,8;;
316;;;;;;То же свыше 100 кВт;0,75 - 0,85;;
317;;;;;;Грохоты;0,5 - 0,6;;
318;;;;;;Мельницы шаровые;0,75 - 0,9;;
319;;;;Краны, тельферы, подъемники;;;;;
320;;;;;;Грейферные краны;0,35;;
321;;;;;;Магнитные краны;0,5;;
322;;;;;;Штабеллеры;0,16;;
